Time,Bond,Side,Notional,Counterparty,MidPrice,QuotedPrice,Competitors,Traded,nextMidPrice
5,US Treasury 5Y,ASK,500000,SniperFund,98.629,98.717,7,MISSED,98.686
14,US Treasury 5Y,BID,2500000,SleepyManager,98.502,98.443,5,DONE,98.419
21,US Treasury 3Y,BID,100000,RelativeValueStrategies,102.08,102.027,6,MISSED,101.971
26,US Treasury 10Y,BID,5000000,HF-Fortress,97.753,97.651,3,MISSED,97.788
31,US Treasury 3Y,ASK,100000,TankerAssetManagement,101.279,101.398,3,MISSED,101.374
32,US Treasury 3Y,ASK,10000000,HF-Fortress,101.585,101.701,2,MISSED,101.367
39,US Treasury 10Y,ASK,5000000,SniperFund,95.739,95.652,3,DONE,95.794
46,US Treasury 30Y,ASK,10000000,TankerAssetManagement,95.79,95.93,4,DONE,95.848
52,US Treasury 3Y,ASK,2500000,SniperFund,101.701,101.829,5,MISSED,101.399
52,US Treasury 30Y,ASK,1000000,TankerAssetManagement,92.567,92.678,5,MISSED,92.767
60,US Treasury 5Y,ASK,100000,CountrysideBroker,96.033,96.117,5,MISSED,96.16
66,US Treasury 2Y,ASK,250000,HF-Fortress,101.824,101.895,4,MISSED,101.741
66,US Treasury 5Y,BID,500000,SniperFund,95.297,95.099,5,MISSED,95.335
72,US Treasury 3Y,ASK,2500000,HF-Fortress,101.023,101.13,7,MISSED,101.098
72,US Treasury 3Y,BID,100000,RelativeValueStrategies,102.941,102.814,7,MISSED,102.859
74,US Treasury 30Y,BID,250000,SniperFund,90.821,90.682,3,MISSED,90.442
78,US Treasury 10Y,BID,1000000,TankerAssetManagement,93.283,93.171,2,DONE,93.107
87,US Treasury 3Y,ASK,2500000,HF-Fortress,100.989,101.156,3,MISSED,101.087
93,US Treasury 3Y,BID,1000000,CountrysideBroker,102.051,101.954,5,MISSED,101.951
100,US Treasury 2Y,BID,250000,HF-Fortress,100.28,100.231,7,MISSED,100.239
109,US Treasury 5Y,BID,1000000,SleepyManager,99.186,99.05,1,MISSED,99.019
110,US Treasury 3Y,BID,5000000,CountrysideBroker,105.675,105.463,6,MISSED,105.466
112,US Treasury 30Y,ASK,10000000,RelativeValueStrategies,93.874,93.842,2,DONE,93.971
117,US Treasury 2Y,BID,250000,HF-Fortress,102.148,102.049,4,MISSED,102.1
126,US Treasury 30Y,ASK,100000,SleepyManager,91.223,91.363,4,MISSED,90.866
130,US Treasury 30Y,BID,250000,HF-Fortress,91.396,91.232,5,MISSED,91.196
139,US Treasury 30Y,ASK,500000,HF-Fortress,94.901,94.976,5,MISSED,94.835
142,US Treasury 30Y,ASK,5000000,CountrysideBroker,92.227,92.46,6,MISSED,92.164
143,US Treasury 10Y,BID,500000,RelativeValueStrategies,97.46,97.297,1,MISSED,97.561
145,US Treasury 3Y,BID,250000,RelativeValueStrategies,102.437,102.313,3,MISSED,102.329
147,US Treasury 10Y,BID,2500000,CountrysideBroker,93.417,93.237,5,MISSED,93.27
148,US Treasury 10Y,BID,250000,TankerAssetManagement,96.301,96.167,6,MISSED,96.307
148,US Treasury 3Y,BID,100000,SleepyManager,102.955,102.884,2,MISSED,102.79
151,US Treasury 3Y,BID,500000,TankerAssetManagement,101.857,101.83,1,DONE,102.143
156,US Treasury 3Y,ASK,2500000,SleepyManager,100.878,101.069,5,MISSED,100.616
163,US Treasury 5Y,ASK,2500000,TankerAssetManagement,99.311,99.264,6,DONE,99.314
167,US Treasury 3Y,ASK,10000000,TankerAssetManagement,102.623,102.682,3,MISSED,102.766
169,US Treasury 3Y,ASK,5000000,HF-Fortress,102.694,102.775,5,DONE,102.793
175,US Treasury 3Y,ASK,100000,HF-Fortress,103.659,103.748,6,MISSED,103.671
179,US Treasury 10Y,BID,10000000,RelativeValueStrategies,98.902,98.795,4,DONE,99.157
182,US Treasury 30Y,BID,5000000,SleepyManager,90.217,90.128,3,DONE,89.61
190,US Treasury 3Y,BID,5000000,SniperFund,101.411,101.292,6,MISSED,101.384
192,US Treasury 2Y,BID,1000000,TankerAssetManagement,102.399,102.306,7,MISSED,102.4
192,US Treasury 30Y,BID,100000,RelativeValueStrategies,93.435,93.272,4,MISSED,93.553
197,US Treasury 30Y,BID,10000000,TankerAssetManagement,92.033,91.806,1,MISSED,91.24
199,US Treasury 10Y,ASK,5000000,CountrysideBroker,96.979,97.38,5,MISSED,97.21
205,US Treasury 5Y,BID,5000000,HF-Fortress,98.534,98.452,5,MISSED,98.555
209,US Treasury 3Y,ASK,2500000,SleepyManager,100.485,100.555,5,MISSED,100.404
213,US Treasury 30Y,BID,5000000,SniperFund,98.386,98.313,5,MISSED,98.103
222,US Treasury 3Y,ASK,1000000,HF-Fortress,101.942,101.972,1,DONE,101.909
223,US Treasury 3Y,ASK,5000000,HF-Fortress,102.58,102.714,1,DONE,102.587
224,US Treasury 30Y,ASK,2500000,SleepyManager,92.418,92.753,7,MISSED,92.717
228,US Treasury 2Y,BID,100000,HF-Fortress,99.963,99.917,2,DONE,99.792
228,US Treasury 10Y,BID,1000000,TankerAssetManagement,97.57,97.36,4,MISSED,97.632
236,US Treasury 30Y,BID,250000,RelativeValueStrategies,89.577,89.414,6,MISSED,89.812
242,US Treasury 5Y,ASK,100000,SniperFund,99.294,99.462,3,MISSED,99.334
251,US Treasury 3Y,ASK,1000000,TankerAssetManagement,101.785,101.802,2,MISSED,101.705
258,US Treasury 3Y,ASK,10000000,HF-Fortress,101.488,101.623,1,DONE,101.521
263,US Treasury 10Y,ASK,250000,RelativeValueStrategies,93.383,93.298,6,MISSED,93.67
267,US Treasury 10Y,ASK,2500000,CountrysideBroker,95.629,95.948,7,MISSED,95.651
269,US Treasury 2Y,BID,1000000,RelativeValueStrategies,101.146,101.07,1,DONE,101.176
278,US Treasury 3Y,BID,250000,RelativeValueStrategies,102.808,102.702,2,MISSED,102.722
280,US Treasury 5Y,BID,5000000,TankerAssetManagement,98.113,98.078,3,DONE,98.152
281,US Treasury 3Y,ASK,5000000,TankerAssetManagement,101.477,101.601,7,MISSED,101.431
289,US Treasury 3Y,ASK,500000,CountrysideBroker,102.292,102.415,1,MISSED,102.365
290,US Treasury 3Y,BID,500000,SleepyManager,102.667,102.691,6,DONE,102.804
293,US Treasury 2Y,ASK,250000,RelativeValueStrategies,99.546,99.699,2,MISSED,99.5
295,US Treasury 2Y,ASK,1000000,SniperFund,101.005,101.077,4,MISSED,100.909
297,US Treasury 10Y,BID,2500000,TankerAssetManagement,97.414,97.321,4,MISSED,97.45
298,US Treasury 5Y,ASK,10000000,TankerAssetManagement,97.926,97.999,1,DONE,97.868
303,US Treasury 10Y,ASK,100000,SniperFund,94.213,94.298,1,DONE,94.149
305,US Treasury 5Y,ASK,10000000,CountrysideBroker,99.156,99.323,4,MISSED,99.241
307,US Treasury 3Y,ASK,500000,HF-Fortress,101.887,101.906,5,DONE,101.874
314,US Treasury 30Y,BID,100000,CountrysideBroker,89.522,89.287,6,MISSED,89.003
317,US Treasury 3Y,ASK,5000000,CountrysideBroker,100.58,100.77,5,MISSED,100.868
322,US Treasury 2Y,BID,250000,RelativeValueStrategies,100.677,100.576,2,MISSED,100.544
329,US Treasury 10Y,ASK,5000000,CountrysideBroker,97.572,97.863,2,MISSED,97.907
338,US Treasury 3Y,ASK,1000000,HF-Fortress,101.913,102.027,2,MISSED,101.975
339,US Treasury 10Y,ASK,10000000,RelativeValueStrategies,96.731,97.001,4,MISSED,96.551
344,US Treasury 30Y,BID,5000000,SniperFund,92.746,92.616,4,MISSED,92.888
350,US Treasury 5Y,BID,10000000,HF-Fortress,98.049,97.988,4,DONE,97.917
358,US Treasury 5Y,ASK,100000,HF-Fortress,99.157,99.21,2,MISSED,99.106
364,US Treasury 10Y,ASK,10000000,CountrysideBroker,100.035,100.33,3,MISSED,100.242
368,US Treasury 2Y,ASK,1000000,SleepyManager,100.119,100.242,5,MISSED,100.239
